date,discharge
2010-05-31,0.36811901100000327
2010-06-01,0.2831684700000025
2010-06-02,0.2548516230000023
2010-06-03,0.2548516230000023
2010-06-04,0.2548516230000023
2010-06-05,0.36811901100000327
2010-06-06,0.2831684700000025
2010-06-07,0.5097032460000046
2010-06-08,68.15865072900061
2010-06-09,21.662387955000195
2010-06-10,6.229706340000056
2010-06-11,3.709506957000033
2010-06-12,3.086536323000028
2010-06-13,2.916635241000026
2010-06-14,3.029902629000027
2010-06-15,2.690100465000024
2010-06-16,2.548516230000023
2010-06-17,2.5201993830000227
2010-06-18,2.350298301000021
2010-06-19,2.123763525000019
2010-06-20,1.9538624430000175
2010-06-21,1.783961361000016
2010-06-22,1.6990108200000151
2010-06-23,2.3219814540000208
2010-06-24,4.50237867300004
2010-06-25,2.888318394000026
2010-06-26,2.491882536000022
2010-06-27,2.378615148000021
2010-06-28,3.8510911920000344
2010-06-29,2.775051006000025
2010-06-30,2.378615148000021
2010-07-01,2.690100465000024
2010-07-02,2.916635241000026
2010-07-03,1.8689119020000167
2010-07-04,1.7556445140000156
2010-07-05,17.018425047000154
2010-07-06,95.37114069600085
2010-07-07,46.213094304000414
2010-07-08,16.706939730000148
2010-07-09,10.16574807300009
2010-07-10,10.873669248000096
2010-07-11,6.965944362000062
2010-07-12,6.880993821000062
2010-07-13,5.465151471000048
2010-07-14,4.4174281320000395
2010-07-15,6.73940958600006
2010-07-16,6.5695085040000585
2010-07-17,8.551687794000076
2010-07-18,4.247527050000038
2010-07-19,40.32319012800036
2010-07-20,18.09446523300016
2010-07-21,11.949709434000107
2010-07-22,7.588914996000068
2010-07-23,6.484557963000058
2010-07-24,52.612701726000466
2010-07-25,40.86121022100036
2010-07-26,27.97704483600025
2010-07-27,68.64003712800061
2010-07-28,28.911500787000257
2010-07-29,19.368723348000174
2010-07-30,115.56105260700103
2010-07-31,111.851545650001
2010-08-01,44.8255688010004
2010-08-02,34.97130604500031
2010-08-03,34.093483788000306
2010-08-04,35.02793973900031
2010-08-05,48.421808370000434
2010-08-06,70.59389957100063
2010-08-07,48.84656107500044
2010-08-08,36.75526740600033
2010-08-09,27.89209429500025
2010-08-10,22.7667449880002
2010-08-11,26.193083475000233
2010-08-12,58.41765536100052
2010-08-13,50.149136037000446
2010-08-14,45.92992583400041
2010-08-15,40.32319012800036
2010-08-16,30.837046383000274
2010-08-17,30.752095842000276
2010-08-18,25.74001392300023
2010-08-19,23.50298301000021
2010-08-20,28.684966011000256
2010-08-21,50.29072027200045
2010-08-22,95.71094286000086
2010-08-23,63.231519351000564
2010-08-24,96.81529989300087
2010-08-25,52.21626586800047
2010-08-26,43.43804329800039
2010-08-27,34.093483788000306
2010-08-28,27.467341590000245
2010-08-29,21.29426894400019
2010-08-30,18.74575271400017
2010-08-31,17.188326129000153
2010-09-01,16.112285943000145
2010-09-02,21.379219485000192
2010-09-03,24.918825360000223
2010-09-04,26.73110356800024
2010-09-05,26.419618251000237
2010-09-06,28.09031222400025
2010-09-07,28.826550246000256
2010-09-08,32.904176214000294
2010-09-09,27.297440508000243
2010-09-10,23.53129985700021
2010-09-11,44.8538856480004
2010-09-12,37.18002011100033
2010-09-13,48.11032305300043
2010-09-14,36.55704947700033
2010-09-15,29.761006197000267
2010-09-16,26.334667710000236
2010-09-17,23.75783463300021
2010-09-18,21.20931840300019
2010-09-19,19.566941277000176
2010-09-20,21.43585317900019
2010-09-21,18.405950550000163
2010-09-22,262.15736952600236
2010-09-23,157.1018671560014
2010-09-24,70.16914686600063
2010-09-25,57.794684727000515
2010-09-26,50.94200775300045
2010-09-27,40.01170481100036
2010-09-28,31.913086569000285
2010-09-29,27.75051006000025
2011-05-31,1.472476044000013
2011-06-01,1.7556445140000156
2011-06-02,3.681190110000033
2011-06-03,3.171486864000028
2011-06-04,2.803367853000025
2011-06-05,2.2087140660000197
2011-06-06,1.6990108200000151
2011-06-07,1.3025749620000115
2011-06-08,1.217624421000011
2011-06-09,1.444159197000013
2011-06-10,1.472476044000013
2011-06-11,1.5007928910000135
2011-06-12,4.020992274000036
2011-06-13,3.34138794600003
2011-06-14,2.010496137000018
2011-06-15,4.247527050000038
2011-06-16,33.2439783780003
2011-06-17,79.45707268200071
2011-06-18,13.252284396000118
2011-06-19,6.852676974000061
2011-06-20,4.389111285000039
2011-06-21,3.9926754270000355
2011-06-22,3.7378238040000333
2011-06-23,3.6528732630000325
2011-06-24,4.785547143000043
2011-06-25,3.567922722000032
2011-06-26,5.097032460000046
2011-06-27,3.9926754270000355
2011-06-28,5.833270482000052
2011-06-29,12.232877904000109
2011-06-30,10.22238176700009
2011-07-01,6.909310668000062
2011-07-02,6.427924269000058
2011-07-03,5.66336940000005
2011-07-04,4.360794438000039
2011-07-05,3.34138794600003
2011-07-06,3.114853170000028
2011-07-07,2.944952088000026
2011-07-08,9.174658428000082
2011-07-09,9.202975275000082
2011-07-10,5.748319941000052
2011-07-11,5.153666154000046
2011-07-12,4.105942815000037
2011-07-13,5.63505255300005
2011-07-14,5.323567236000048
2011-07-15,115.30620098400102
2011-07-16,37.321604346000335
2011-07-17,29.024768175000258
2011-07-18,29.676055656000266
2011-07-19,19.00060433700017
2011-07-20,14.413275123000128
2011-07-21,11.808125199000106
2011-07-22,18.604168479000165
2011-07-23,12.629313762000113
2011-07-24,9.429510051000085
2011-07-25,9.00475734600008
2011-07-26,9.202975275000082
2011-07-27,9.627727980000087
2011-07-28,11.949709434000107
2011-07-29,7.419013914000066
2011-07-30,6.7960432800000605
2011-07-31,6.314656881000056
