date,Kahu,Kandaghat,Kasauli,Solan,Arki
08-06-2010,85.5,72,67,49.6,122
09-06-2010,62.5,78,69,44.5,69
10-06-2010,0.5,0,0,0.6,0
11-06-2010,0,0,0,0,0
12-06-2010,0,0,0,0,0
13-06-2010,0,0,0,0,0
14-06-2010,1.5,0,0,6.8,0
15-06-2010,0.7,2,1.5,4.9,0
16-06-2010,0,0,0,0,0
17-06-2010,0,0,0,0,0
18-06-2010,0,0,0,0,0
19-06-2010,0,0,0,0,0
20-06-2010,0,0,0,0,0
21-06-2010,1.5,0,0,0,0
22-06-2010,0,0,7.5,0,0
23-06-2010,6.9,0,0,34,0
24-06-2010,40,0,5.5,1.8,0
25-06-2010,0,0,0,1.6,0
26-06-2010,0,0,0,0,0
27-06-2010,0,0,0,0,0
28-06-2010,28,7,5,14.8,0
29-06-2010,0.5,0,0,0,0
30-06-2010,0,0,0,0,0
01-07-2010,0.4,0,6.5,14.5,12
02-07-2010,2.2,0,16.5,14.3,0
03-07-2010,0,0,6,7.9,0
04-07-2010,0,0,4,1.7,0
05-07-2010,35,95,73,79.2,24.4
06-07-2010,46.7,57,48,45.8,39.1
07-07-2010,49.5,70,48.5,90.5,31
08-07-2010,13,5,0.5,14.8,4
09-07-2010,0,0,0.5,0,0
10-07-2010,8.7,6,10.5,2.6,0
11-07-2010,2.7,2,8,2.6,0
12-07-2010,1.2,9.2,6.5,3,2.4
13-07-2010,1.4,0,7.5,3.8,0.6
14-07-2010,0,0,0,0,0
15-07-2010,0,0,0,0,0
16-07-2010,0,0,0,0,8
17-07-2010,19.7,0,15.5,35.7,0.2
18-07-2010,0,0,4.5,18.6,0.1
19-07-2010,0,2,1,0,0
20-07-2010,11,9.3,11.5,24.6,2.2
21-07-2010,15.7,17,1,6.6,20.7
22-07-2010,0,0,3.5,3.8,0
23-07-2010,0,4,3,4.3,0.2
24-07-2010,0,0,0,0,0
25-07-2010,67,24,79.5,68.6,6
26-07-2010,0.95,0,1,0,2.8
27-07-2010,12.2,49,16,18,16.2
28-07-2010,24.8,4.2,5,2.4,19.5
29-07-2010,2.3,0,0,0,3.5
30-07-2010,0,22,8.5,0,0
31-07-2010,74.5,43.2,55.5,25,15.2
01-08-2010,2.4,3,11.5,3.2,0
02-08-2010,1.6,6.3,0,1.1,5
03-08-2010,6.6,4,0,6.4,14
04-08-2010,1.5,28,1,0,11.8
05-08-2010,0.8,7.3,0,1.2,2
06-08-2010,25.7,0,14.5,6.6,20.2
07-08-2010,28.5,0,0,26.3,17
08-08-2010,0,33,0,1.4,0
09-08-2010,0,0,0,0,0
10-08-2010,0,0,25.5,0,5
11-08-2010,0,0,16.5,0,0
12-08-2010,14.4,13,21,13.2,19
13-08-2010,9.8,0,53,1.1,0
14-08-2010,0.5,66,7.5,19.1,5
15-08-2010,0,0,12.5,2,1
16-08-2010,0.7,4.1,4,2.6,1
17-08-2010,1.9,0,2.5,3.7,0
18-08-2010,0.8,2,6.5,0.8,14
19-08-2010,1.6,0,38,0.6,4
20-08-2010,0,16,15,10.8,15.5
21-08-2010,1,41,12.5,21.8,8
22-08-2010,6.6,15,5.5,4.5,8
23-08-2010,7,22.1,45.5,17.8,10
24-08-2010,0.5,0,0,0,1.5
25-08-2010,4.8,7,22,6,4.2
26-08-2010,8.9,31,15,12.8,0
27-08-2010,0,0,0,7.4,3
28-08-2010,0,0,0,0,0
29-08-2010,0,0,0,0,0
30-08-2010,0,0,0,0,0
31-08-2010,0,0,0,1,0
01-09-2010,0,0,6,0,0
02-09-2010,0.5,16,0,1.9,8
03-09-2010,1.5,3.1,4.5,0,5
04-09-2010,9,0,0,10.2,11
05-09-2010,0,6,0,7.5,0
06-09-2010,10,2.1,0,9.8,4
07-09-2010,0,37.1,4.5,44,0
08-09-2010,3,35.2,43.5,29.2,2
09-09-2010,0,4,1,20,0
10-09-2010,1,3.2,0.5,0.8,0
11-09-2010,2.8,0,0,0,0
12-09-2010,7.1,17.6,84.5,43.8,2
13-09-2010,3.6,4.1,8,5.4,7
14-09-2010,20.7,9.3,2.5,1.8,1
15-09-2010,7.2,1,2.2,2.4,0
16-09-2010,0,0,1.5,11.6,0
17-09-2010,0,0,0,0,0
18-09-2010,0,0,0,0,0
19-09-2010,0,0,0,1.4,0
20-09-2010,5.5,34,20.5,37,0
21-09-2010,0,0,0,0,0
22-09-2010,17,40.3,4.5,39,42
23-09-2010,41.9,97.3,187,82.6,39
24-09-2010,0,0,0,0,0
25-09-2010,1,0,0,0,0
26-09-2010,0,0,0,0,0
27-09-2010,0,0,0,0,0
28-09-2010,0,0,0,0,0
29-09-2010,0,0,0,0,0
30-09-2010,0,0,0,0,0
01-10-2010,0,0,0,0,0
02-10-2010,0,0,0,0,0
03-10-2010,0,0,0,0,0
04-10-2010,0,0,0,0,0
05-10-2010,0,0,0,0,0
06-10-2010,0,0,0,0,0
07-10-2010,0,0,0,0,0
08-10-2010,0,0,0,0,0
09-10-2010,0,0,0,0,0
10-10-2010,0,0,0,0,0
11-10-2010,0,0,0,0,0
12-10-2010,0.8,0,0,16.8,0
13-10-2010,0,0,0,0,0
14-10-2010,0,0,0,0,0
15-10-2010,0,0,0,0,0
16-10-2010,0,0,0,0,0
17-10-2010,0,0,0,0,0
18-10-2010,0,0,0,0,0
19-10-2010,0,0,0,0,0
20-10-2010,0,0,0,0,0
21-10-2010,0,0,0,0,0
22-10-2010,0,0,0,0,0
23-10-2010,2.6,7.1,40.5,24.9,13
24-10-2010,0,0,0,0,0
25-10-2010,0,0,0,0,0
26-10-2010,0,0,0,0,0
27-10-2010,0,0,0,0,0
