,kahu,date,discharge,arki,3day_arki,kahu,3day_kahu,90day_kahu
0,0.0,2010-05-31,0.3681190110000032,0.0,3.4333333333333336,0.0,7.066666666666666,1.0266666666666668
1,2.4,2010-06-04,0.2548516230000023,0.0,0.0,2.4,0.7999999999999999,1.0366666666666666
2,8.2,2010-06-05,0.3681190110000032,0.0,0.0,8.2,3.533333333333333,1.1277777777777778
3,0.0,2010-06-06,0.2831684700000025,0.0,0.0,0.0,3.533333333333333,1.1277777777777778
4,0.0,2010-06-07,0.5097032460000046,0.0,0.0,0.0,2.733333333333333,1.1277777777777778
5,85.5,2010-06-08,68.15865072900061,122.0,40.66666666666666,85.5,28.5,2.077777777777778
6,62.5,2010-06-09,21.662387955000195,69.0,63.66666666666666,62.5,49.333333333333336,2.772222222222222
7,0.5,2010-06-10,6.229706340000056,0.0,63.66666666666666,0.5,49.5,2.7777777777777777
8,0.0,2010-06-11,3.709506957000033,0.0,23.0,0.0,21.0,2.7777777777777777
9,0.0,2010-06-12,3.086536323000028,0.0,0.0,0.0,0.1666666666666666,2.7777777777777777
10,1.5,2010-06-14,3.029902629000027,0.0,0.0,1.5,0.5,2.7944444444444443
11,0.7,2010-06-15,2.690100465000024,0.0,0.0,0.7,0.7333333333333334,2.802222222222222
12,0.0,2010-06-16,2.548516230000023,0.0,0.0,0.0,0.7333333333333334,2.802222222222222
13,0.0,2010-06-17,2.5201993830000227,0.0,0.0,0.0,0.2333333333333333,2.802222222222222
14,1.5,2010-06-21,1.783961361000016,0.0,0.0,1.5,0.5,2.818888888888889
15,0.0,2010-06-22,1.6990108200000151,0.0,0.0,0.0,0.5,2.818888888888889
16,6.9,2010-06-23,2.3219814540000208,0.0,0.0,6.9,2.8000000000000003,2.895555555555556
17,40.0,2010-06-24,4.50237867300004,0.0,0.0,40.0,15.633333333333333,3.3400000000000003
18,0.0,2010-06-25,2.888318394000026,0.0,0.0,0.0,15.633333333333333,3.3400000000000003
19,0.0,2010-06-26,2.491882536000022,0.0,0.0,0.0,13.333333333333334,3.3400000000000003
20,28.0,2010-06-28,3.8510911920000335,0.0,0.0,28.0,9.333333333333334,3.651111111111111
21,0.5,2010-06-29,2.775051006000025,0.0,0.0,0.5,9.5,3.6566666666666663
22,0.0,2010-06-30,2.378615148000021,0.0,0.0,0.0,9.5,3.6566666666666663
23,0.4,2010-07-01,2.690100465000024,12.0,4.0,0.4,0.3,3.661111111111111
24,2.2,2010-07-02,2.916635241000026,0.0,4.0,2.2,0.8666666666666667,3.6855555555555553
25,0.0,2010-07-03,1.868911902000017,0.0,4.0,0.0,0.8666666666666667,3.6855555555555553
26,0.0,2010-07-04,1.7556445140000156,0.0,0.0,0.0,0.7333333333333334,3.6855555555555553
27,35.0,2010-07-05,17.018425047000154,24.4,8.133333333333333,35.0,11.666666666666666,4.0744444444444445
28,46.7,2010-07-06,95.37114069600084,39.1,21.166666666666668,46.7,27.23333333333333,4.593333333333333
29,49.5,2010-07-07,46.213094304000414,31.0,31.5,49.5,43.73333333333333,5.143333333333333
30,13.0,2010-07-08,16.706939730000148,4.0,24.7,13.0,36.4,5.2877777777777775
31,0.0,2010-07-09,10.16574807300009,0.0,11.666666666666666,0.0,20.83333333333333,5.2877777777777775
32,8.7,2010-07-10,10.873669248000096,0.0,1.3333333333333333,8.7,7.233333333333333,5.384444444444445
33,2.7,2010-07-11,6.965944362000062,0.0,0.0,2.7,3.8,5.414444444444444
34,1.2,2010-07-12,6.880993821000062,2.4,0.7999999999999999,1.2,4.2,5.427777777777778
35,1.4,2010-07-13,5.465151471000048,0.6,1.0,1.4,1.7666666666666666,5.443333333333333
36,0.0,2010-07-14,4.41742813200004,0.0,1.0,0.0,0.8666666666666666,5.443333333333333
37,0.0,2010-07-15,6.73940958600006,0.0,0.1999999999999999,0.0,0.4666666666666666,5.443333333333333
38,0.0,2010-07-16,6.5695085040000585,8.0,2.6666666666666665,0.0,0.0,5.443333333333333
39,19.7,2010-07-17,8.551687794000076,0.2,2.733333333333333,19.7,6.566666666666666,5.662222222222223
40,0.0,2010-07-18,4.247527050000038,0.1,2.766666666666667,0.0,6.566666666666666,5.662222222222223
41,0.0,2010-07-19,40.32319012800036,0.0,0.1,0.0,6.566666666666666,5.662222222222223
42,11.0,2010-07-20,18.09446523300016,2.2,0.7666666666666667,11.0,3.6666666666666665,5.754444444444444
43,15.7,2010-07-21,11.949709434000107,20.7,7.633333333333333,15.7,8.9,5.923333333333334
44,0.0,2010-07-22,7.588914996000068,0.0,7.633333333333333,0.0,8.9,5.923333333333334
45,0.0,2010-07-23,6.484557963000058,0.2,6.966666666666666,0.0,5.233333333333333,5.923333333333334
46,0.0,2010-07-24,52.61270172600047,0.0,0.0666666666666666,0.0,0.0,5.923333333333334
47,67.0,2010-07-25,40.86121022100036,6.0,2.066666666666667,67.0,22.33333333333333,6.667777777777778
48,0.95,2010-07-26,27.97704483600025,2.8,2.9333333333333336,0.95,22.65,6.678333333333334
49,12.2,2010-07-27,68.64003712800061,16.2,8.333333333333334,12.2,26.71666666666667,6.813888888888889
50,24.8,2010-07-28,28.911500787000257,19.5,12.833333333333334,24.8,12.65,7.089444444444445
51,2.3,2010-07-29,19.368723348000174,3.5,13.066666666666668,2.3,13.1,7.115
52,0.0,2010-07-30,115.56105260700105,0.0,7.666666666666667,0.0,9.033333333333331,7.115
53,74.5,2010-07-31,111.851545650001,15.2,6.233333333333333,74.5,25.6,7.935
54,2.4,2010-08-01,44.8255688010004,0.0,5.066666666666666,2.4,25.633333333333336,7.961666666666666
55,1.6,2010-08-02,34.97130604500031,5.0,6.733333333333333,1.6,26.166666666666668,7.979444444444444
56,6.6,2010-08-03,34.093483788000306,14.0,6.333333333333333,6.6,3.533333333333333,8.052777777777777
57,1.5,2010-08-04,35.02793973900031,11.8,10.266666666666667,1.5,3.233333333333333,8.069444444444445
58,0.8,2010-08-05,48.421808370000434,2.0,9.266666666666667,0.8,2.966666666666667,7.731666666666667
59,25.7,2010-08-06,70.59389957100063,20.2,11.333333333333334,25.7,9.333333333333334,7.795000000000001
60,28.5,2010-08-07,48.84656107500044,17.0,13.066666666666668,28.5,18.33333333333333,8.111666666666668
61,0.0,2010-08-08,36.75526740600033,0.0,12.4,0.0,18.066666666666663,8.111666666666668
62,0.0,2010-08-09,27.89209429500025,0.0,5.666666666666667,0.0,9.5,8.038333333333334
