date,2day_kahu,discharge,solan,kahu,arki,kasauli,kandaghat,90day_kahu,2day_max_kahu,4day_kahu,3day_kahu,3day_kasauli,3day_kandaghat,3day_arki,3day_solan
2012-09-05,13.7,27.83546060100025,0.0,1.2,2.2,8.0,0.0,9.05888888888889,12.5,3.7249999999999996,4.966666666666666,17.0,6.333333333333333,6.3999999999999995,1.6666666666666672
2012-09-06,1.2,22.5685270590002,0.0,0.0,0.0,0.0,36.8,9.05888888888889,1.2,3.7249999999999996,4.566666666666666,17.0,18.2,6.3999999999999995,1.6666666666666672
2012-09-07,0.0,24.918825360000223,0.0,0.0,0.0,1.0,0.0,9.05888888888889,0.0,3.425,0.39999999999999997,3.0,12.266666666666666,0.7333333333333334,5.921189464667501e-16
2012-09-08,18.5,33.9235827060003,23.2,18.5,0.0,8.5,11.2,9.264444444444443,18.5,4.925,6.166666666666667,3.1666666666666665,16.0,0.0,7.733333333333334
2012-09-09,18.5,27.07090573200024,1.0,0.0,13.8,0.0,0.8,9.264444444444443,18.5,4.625,6.166666666666667,3.1666666666666665,4.0,4.6000000000000005,8.066666666666666
2012-09-10,0.0,23.58793355100021,0.0,0.0,20.0,0.0,0.0,9.264444444444443,0.0,4.625,6.166666666666667,2.8333333333333335,4.0,11.266666666666666,8.066666666666666
2012-09-11,0.0,20.13327821700018,0.0,0.0,0.0,0.0,0.0,9.264444444444443,0.0,4.625,0.0,0.0,0.26666666666666666,11.266666666666666,0.3333333333333333
2012-09-12,0.5,30.27070944300027,13.8,0.5,1.8,8.0,19.2,9.27,0.5,0.125,0.16666666666666666,2.6666666666666665,6.3999999999999995,7.266666666666667,4.6000000000000005
2012-09-13,0.5,30.72377899500028,0.7,0.0,5.4,19.5,1.8,9.27,0.5,0.125,0.16666666666666666,9.166666666666666,7.0,2.4,4.833333333333333
2012-09-14,12.8,24.86219166600022,0.0,12.8,2.9,2.0,7.0,9.412222222222223,12.8,3.325,4.433333333333334,9.833333333333334,9.333333333333334,3.3666666666666667,4.833333333333333
2012-09-15,14.600000000000001,23.106547152000207,4.6,1.8,1.1,0.0,2.2,9.432222222222222,12.8,3.7750000000000004,4.866666666666667,7.166666666666667,3.6666666666666665,3.133333333333333,1.7666666666666666
2012-09-16,1.8,22.681794447000204,0.6,0.0,0.0,0.5,2.0,9.432222222222222,1.8,3.6500000000000004,4.866666666666667,0.8333333333333334,3.733333333333333,1.3333333333333333,1.7333333333333332
2012-09-17,10.0,44.2875487080004,14.5,10.0,6.4,11.0,7.4,9.543333333333333,10.0,6.15,3.9333333333333336,3.8333333333333335,3.866666666666667,2.5,6.566666666666666
2012-09-18,44.5,169.75949776500153,13.8,34.5,4.4,71.0,14.2,9.926666666666666,34.5,11.575,14.833333333333334,27.5,7.866666666666667,3.6,9.633333333333333
2012-09-19,64.5,70.96201858200064,34.6,30.0,110.2,64.5,65.0,10.26,34.5,18.625,24.833333333333332,48.833333333333336,28.866666666666664,40.333333333333336,20.966666666666665
2012-09-20,30.0,45.703391058000406,0.0,0.0,0.0,0.0,0.0,10.26,30.0,18.625,21.5,45.166666666666664,26.399999999999995,38.199999999999996,16.133333333333333
2012-09-21,0.0,30.667145301000275,0.0,0.0,0.0,0.0,0.0,10.26,0.0,16.125,10.0,21.5,21.666666666666668,36.733333333333334,11.533333333333333
2012-09-22,0.0,21.7473384960002,0.0,0.0,0.0,1.0,0.0,10.148888888888889,0.0,7.5,0.0,0.3333333333333333,0.0,0.0,0.0
2012-09-23,0.0,17.188326129000153,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
2012-09-24,0.0,20.13327821700018,0.0,0.0,0.0,0.0,0.0,9.977777777777778,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
2012-09-25,0.0,18.802386408000167,0.0,0.0,0.0,42.5,0.0,9.977777777777778,0.0,0.0,0.0,14.166666666666666,0.0,0.0,0.0
2012-09-26,0.0,17.188326129000153,0.0,0.0,0.0,0.0,0.0,9.977777777777778,0.0,0.0,0.0,14.166666666666666,0.0,0.0,0.0
2012-09-27,0.0,15.517632156000138,0.0,0.0,0.0,0.0,0.0,9.977777777777778,0.0,0.0,0.0,14.166666666666666,0.0,0.0,0.0
2012-09-28,0.0,14.243374041000129,0.0,0.0,0.0,0.0,0.0,9.977777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-29,0.0,13.47881917200012,0.0,0.0,0.0,0.0,0.0,9.977777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-01,0.0,0.538,0.0,0.0,0.0,0.0,0.0,0.8111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,3.5666666666666678
2013-06-02,0.0,0.538,0.0,0.0,0.0,0.0,0.0,0.8111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,3.5666666666666678
2013-06-03,0.0,0.538,0.0,0.0,0.0,0.0,0.0,0.8111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.1842378929335002e-15
2013-06-04,5.0,0.538,13.4,5.0,9.0,0.0,12.8,0.8666666666666667,5.0,1.25,1.6666666666666667,0.0,4.266666666666667,2.9999999999999996,4.466666666666668
2013-06-05,5.0,0.538,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,5.0,1.25,1.6666666666666667,0.0,4.266666666666667,2.9999999999999996,4.466666666666668
2013-06-06,0.0,0.453,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.0,1.25,1.6666666666666667,0.0,4.266666666666667,2.9999999999999996,4.466666666666668
2013-06-07,0.0,0.453,2.8,0.0,0.0,6.0,15.2,0.8666666666666667,0.0,1.25,0.0,2.0,5.066666666666666,0.0,0.9333333333333345
